State,Population,Year
Alabama,4318608,7/1/99
Alabama,4452173,7/1/00
Alabama,4467634,7/1/01
Alabama,4480089,7/1/02
Alabama,4503491,7/1/03
Alabama,4530729,7/1/04
Alabama,4569805,7/1/05
Alabama,4628981,7/1/06
Alabama,4672840,7/1/07
Alabama,4718206,7/1/08
Alabama,4757938,7/1/09
Alabama,4785437,7/1/10
Alabama,4799069,7/1/11
Alabama,4815588,7/1/12
Alabama,4830081,7/1/13
Alabama,4841799,7/1/14
Alabama,4852347,7/1/15
Alabama,4863525,7/1/16
Alabama,4874486,7/1/17
Alabama,4887681,7/1/18
Alabama,4903185,7/1/19
Alabama,5050281,7/1/20
Alaska,609124,7/1/99
Alaska,627963,7/1/00
Alaska,633714,7/1/01
Alaska,642337,7/1/02
Alaska,648414,7/1/03
Alaska,659286,7/1/04
Alaska,666946,7/1/05
Alaska,675302,7/1/06
Alaska,680300,7/1/07
Alaska,687455,7/1/08
Alaska,698895,7/1/09
Alaska,713910,7/1/10
Alaska,722128,7/1/11
Alaska,730443,7/1/12
Alaska,737068,7/1/13
Alaska,736283,7/1/14
Alaska,737498,7/1/15
Alaska,741456,7/1/16
Alaska,739700,7/1/17
Alaska,735139,7/1/18
Alaska,731545,7/1/19
Alaska,753491,7/1/20
Arizona,5005768,7/1/99
Arizona,5160586,7/1/00
Arizona,5273477,7/1/01
Arizona,5396255,7/1/02
Arizona,5510364,7/1/03
Arizona,5652404,7/1/04
Arizona,5839077,7/1/05
Arizona,6029141,7/1/06
Arizona,6167681,7/1/07
Arizona,6280362,7/1/08
Arizona,6343154,7/1/09
Arizona,6407172,7/1/10
Arizona,6472643,7/1/11
Arizona,6554978,7/1/12
Arizona,6632764,7/1/13
Arizona,6730413,7/1/14
Arizona,6829676,7/1/15
Arizona,6941072,7/1/16
Arizona,7044008,7/1/17
Arizona,7158024,7/1/18
Arizona,7278717,7/1/19
Arizona,7497079,7/1/20
Arkansas,2598230,7/1/99
Arkansas,2678588,7/1/00
Arkansas,2691571,7/1/01
Arkansas,2705927,7/1/02
Arkansas,2724816,7/1/03
Arkansas,2749686,7/1/04
Arkansas,2781097,7/1/05
Arkansas,2821761,7/1/06
Arkansas,2848650,7/1/07
Arkansas,2874554,7/1/08
Arkansas,2896843,7/1/09
Arkansas,2921964,7/1/10
Arkansas,2940667,7/1/11
Arkansas,2952164,7/1/12
Arkansas,2959400,7/1/13
Arkansas,2967392,7/1/14
Arkansas,2978048,7/1/15
