,Year,State,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,Population,gunspercapita
0,2019-07-01,Alabama,33116.0,865.0,8711.0,5851.0,410.0,353,0.0,19.0,14.0,1.0,1525.0,854.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,4.0,0.0,1.0,0.0,51757,4903185,0.010555791796556729
1,2019-07-01,Alaska,167.0,24.0,2172.0,2139.0,247.0,151,0.0,0.0,0.0,0.0,173.0,147.0,1.0,26.0,22.0,0.0,0.0,0.0,11.0,15.0,2.0,1.0,0.0,0.0,5298,731545,0.00724220656282252
2,2019-07-01,Arizona,5181.0,489.0,11005.0,5995.0,1203.0,651,0.0,18.0,3.0,2.0,1137.0,485.0,4.0,113.0,9.0,0.0,0.0,0.0,13.0,12.0,5.0,0.0,0.0,0.0,26325,7278717,0.003616708823821561
3,2019-07-01,Arkansas,2687.0,645.0,4049.0,3487.0,289.0,305,5.0,8.0,17.0,1.0,1097.0,1077.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.0,0.0,13684,3017804,0.004534423044041296
4,2019-07-01,California,27930.0,0.0,30400.0,20830.0,3485.0,0,6259.0,0.0,0.0,0.0,382.0,242.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89532,39512223,0.0022659317345926095
5,2019-07-01,Colorado,6156.0,0.0,15550.0,9601.0,1238.0,916,1.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33812,5758736,0.00587142734099983
6,2019-07-01,Connecticut,6838.0,477.0,4235.0,1403.0,409.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13362,3565287,0.003747804875175547
7,2019-07-01,Delaware,227.0,0.0,1410.0,936.0,107.0,65,0.0,2.0,3.0,0.0,12.0,9.0,0.0,41.0,0.0,3.0,0.0,0.0,40.0,12.0,3.0,2.0,1.0,0.0,2873,973764,0.0029504068747663705
8,2019-07-01,District of Columbia,250.0,0.0,105.0,4.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375,705749,0.0005313503809427998
9,2019-07-01,Florida,14674.0,0.0,43914.0,13570.0,3307.0,1968,3.0,27.0,10.0,0.0,3953.0,1027.0,12.0,1006.0,116.0,6.0,0.0,0.0,212.0,108.0,29.0,43.0,39.0,0.0,84024,21477737,0.0039121440028807505
